ts_id,ds,prediction,lower_bound,upper_bound,value,anomaly_flag,abs_error
10_9454C3610D0A_E2288FCE3225_5,2023-04-25T10:01:18.000+0000,-1005.71497,-22095.896,20617.797,1702,0,2707.7148
10_9454C3610D0A_E2288FCE3225_5,2023-04-25T09:30:34.000+0000,-1048.4352,-22967.545,21443.145,1701,0,2749.435
10_9454C3610D0A_E2288FCE3225_5,2023-04-25T08:31:19.000+0000,-1099.9303,-24286.71,22567.28,1697,0,2796.9302
10_9454C3610D0A_E2288FCE3225_5,2023-04-25T08:01:37.000+0000,-1115.4907,-24495.45,22687.053,1685,0,2800.4907
10_9454C3610D0A_E2288FCE3225_5,2023-04-25T07:31:32.000+0000,-1130.3318,-24926.732,23039.615,1683,0,2813.3318
10_9454C3610D0A_E2288FCE3225_5,2023-04-25T07:01:31.000+0000,-1148.3226,-25254.26,23560.209,1688,0,2836.3228
10_9454C3610D0A_E2288FCE3225_5,2023-04-25T06:30:24.000+0000,-1172.78,-26010.586,24082.303,1645,0,2817.78
10_9454C3610D0A_E2288FCE3225_5,2023-04-25T06:01:19.000+0000,-1201.1616,-26579.498,24723.273,1579,0,2780.1616
10_9454C3610D0A_E2288FCE3225_5,2023-04-25T05:30:37.000+0000,-1235.4395,-27341.174,25439.748,1581,0,2816.4395
10_9454C3610D0A_E2288FCE3225_5,2023-04-25T05:00:38.000+0000,-1271.2156,-28222.79,26081.805,1638,0,2909.2156
10_9454C3610D0A_E2288FCE3225_5,2023-04-25T04:30:34.000+0000,-1308.0703,-28917.04,26905.494,1666,0,2974.0703
10_9454C3610D0A_E2288FCE3225_5,2023-04-25T04:01:36.000+0000,-1344.787,-29800.084,27726.467,1705,0,3049.787
10_9454C3610D0A_E2288FCE3225_5,2023-04-25T03:31:30.000+0000,-1386.3256,-30784.209,28524.453,1759,0,3145.3257
10_9454C3610D0A_E2288FCE3225_5,2023-04-25T03:01:23.000+0000,-1434.9192,-31842.053,29459.148,1792,0,3226.9192
10_9454C3610D0A_E2288FCE3225_5,2023-04-25T02:31:28.000+0000,-1494.0304,-33110.332,30602.643,1856,0,3350.0303
10_9454C3610D0A_E2288FCE3225_5,2023-04-25T02:01:23.000+0000,-1567.0897,-34786.312,32117.145,1922,0,3489.0898
10_9454C3610D0A_E2288FCE3225_5,2023-04-25T01:31:27.000+0000,-1653.5231,-36853,33846.473,2018,0,3671.523
10_9454C3610D0A_E2288FCE3225_5,2023-04-25T01:01:26.000+0000,-1750.7996,-38902.203,36117.043,2162,0,3912.7996
10_9454C3610D0A_E2288FCE3225_5,2023-04-25T00:30:34.000+0000,-1855.0741,-41329.188,38235.234,2290,0,4145.074
10_9454C3610D0A_E2288FCE3225_5,2023-04-25T00:00:20.000+0000,-1952.2256,-43501.26,40221.21,2363,0,4315.2256
10_9454C3610D0A_E2288FCE3225_5,2023-04-24T23:30:25.000+0000,-2034.013,-45172.203,42099.105,2403,0,4437.0127
10_9454C3610D0A_E2288FCE3225_5,2023-04-24T23:01:21.000+0000,-2092.3394,-46590.234,42880.63,2457,0,4549.3394
10_9454C3610D0A_E2288FCE3225_5,2023-04-24T22:31:19.000+0000,-2126.2231,-47520.82,43784.31,2664,0,4790.223
10_9454C3610D0A_E2288FCE3225_5,2023-04-24T22:00:22.000+0000,-2132.9001,-47521.277,43784.324,2306,0,4438.9004
10_9454C3610D0A_E2288FCE3225_5,2023-04-24T21:30:18.000+0000,-2116.3857,-47183.09,43435.02,2244,0,4360.3857
10_9454C3610D0A_E2288FCE3225_5,2023-04-24T21:02:00.000+0000,-2087.1697,-46487.61,42840.06,2187,0,4274.17
10_9454C3610D0A_E2288FCE3225_5,2023-04-24T20:31:25.000+0000,-2049.7722,-45730.41,42201.684,2056,0,4105.7725
10_9454C3610D0A_E2288FCE3225_5,2023-04-24T20:01:25.000+0000,-2015.4255,-44928.145,41469.85,1872,0,3887.4255
10_9454C3610D0A_E2288FCE3225_5,2023-04-24T19:31:32.000+0000,-1988.6003,-44553.945,40979.86,1834,0,3822.6003
10_9454C3610D0A_E2288FCE3225_5,2023-04-24T19:00:35.000+0000,-1968.9786,-43789.312,40528.473,1589,0,3557.9785
10_9454C3610D0A_E2288FCE3225_5,2023-04-24T18:31:36.000+0000,-1953.6852,-43688.03,40293.63,1550,0,3503.685
10_9454C3610D0A_E2288FCE3225_5,2023-04-24T18:01:27.000+0000,-1932.3804,-43036.832,39739.516,1529,0,3461.3804
10_9454C3610D0A_E2288FCE3225_5,2023-04-24T17:31:34.000+0000,-1895.4178,-42468.973,38920.418,1397,0,3292.418
10_9454C3610D0A_E2288FCE3225_5,2023-04-24T17:01:28.000+0000,-1832.3961,-41103.953,37808.777,1301,0,3133.396
10_9454C3610D0A_E2288FCE3225_5,2023-04-24T16:30:19.000+0000,-1733.1552,-38891.355,35769.79,1259,0,2992.1553
10_9454C3610D0A_E2288FCE3225_5,2023-04-24T16:00:31.000+0000,-1605.0146,-35916.473,33309.645,1219,0,2824.0146
10_9454C3610D0A_E2288FCE3225_5,2023-04-24T15:30:33.000+0000,-1448.9728,-32482.299,30079.717,1184,0,2632.9727
10_9454C3610D0A_E2288FCE3225_5,2023-04-24T15:00:23.000+0000,-1275.6616,-28591.447,26418.564,1169,0,2444.6616
10_9454C3610D0A_E2288FCE3225_5,2023-04-24T14:31:23.000+0000,-1107.8153,-24812.389,22961.668,1109,0,2216.8154
10_9454C3610D0A_E2288FCE3225_5,2023-04-24T14:00:40.000+0000,-944.94855,-21046.414,19569.416,1108,0,2052.9485
10_9454C3610D0A_E2288FCE3225_5,2023-04-24T13:31:22.000+0000,-817.4411,-18364.096,17178.037,1081,0,1898.4412
10_9454C3610D0A_E2288FCE3225_5,2023-04-24T13:01:29.000+0000,-724.82983,-16253.114,14919.448,1052,0,1776.8298
10_9454C3610D0A_E2288FCE3225_5,2023-04-24T12:31:26.000+0000,-673.42255,-15111.108,13969.654,1042,0,1715.4226
10_9454C3610D0A_E2288FCE3225_5,2023-04-24T12:01:24.000+0000,-661.29266,-14691.352,13749.119,1038,0,1699.2927
10_9454C3610D0A_E2288FCE3225_5,2023-04-24T11:31:38.000+0000,-680.3834,-15252.42,14209.355,1039,0,1719.3834
10_9454C3610D0A_E2288FCE3225_5,2023-04-24T11:02:21.000+0000,-719.0882,-16121.087,14972.387,1026,0,1745.0881
10_9454C3610D0A_E2288FCE3225_5,2023-04-24T10:01:28.000+0000,-817.753,-18200.846,17001.92,1039,0,1856.7529
10_9454C3610D0A_E2288FCE3225_5,2023-04-24T09:30:36.000+0000,-859.9148,-19270.578,18028.916,1034,0,1893.9148
10_9454C3610D0A_E2288FCE3225_5,2023-04-24T09:01:20.000+0000,-890.438,-20043.229,18445.234,1033,0,1923.438
10_9454C3610D0A_E2288FCE3225_5,2023-04-24T08:31:34.000+0000,-913.1927,-20529.205,19141.72,1023,0,1936.1926
10_9454C3610D0A_E2288FCE3225_5,2023-04-24T08:01:20.000+0000,-931.36035,-20895.486,19476.12,1032,0,1963.3604
10_9454C3610D0A_E2288FCE3225_5,2023-04-24T07:31:19.000+0000,-948.9435,-21432.955,19975.797,1051,0,1999.9435
10_9454C3610D0A_E2288FCE3225_5,2023-04-24T07:00:39.000+0000,-970.3933,-21818.291,20367.197,1062,0,2032.3933
10_9454C3610D0A_E2288FCE3225_5,2023-04-24T06:31:33.000+0000,-996.04285,-22450.02,20705.85,1106,0,2102.043
10_9454C3610D0A_E2288FCE3225_5,2023-04-24T06:01:21.000+0000,-1028.2815,-23096.773,21610.793,1118,0,2146.2815
10_9454C3610D0A_E2288FCE3225_5,2023-04-24T05:30:35.000+0000,-1065.6337,-24114.096,22151.857,1129,0,2194.6338
10_9454C3610D0A_E2288FCE3225_5,2023-04-24T05:01:18.000+0000,-1103.6284,-24920.453,22915.865,1122,0,2225.6284
10_9454C3610D0A_E2288FCE3225_5,2023-04-24T04:31:22.000+0000,-1143.7382,-25830.709,23896.86,1115,0,2258.7383
10_9454C3610D0A_E2288FCE3225_5,2023-04-24T04:00:19.000+0000,-1186.9878,-26912.719,24763.94,1110,0,2296.9878
10_9454C3610D0A_E2288FCE3225_5,2023-04-24T03:31:23.000+0000,-1230.72,-27758.309,25754.527,1097,0,2327.72
10_9454C3610D0A_E2288FCE3225_5,2023-04-24T02:30:27.000+0000,-1347.4166,-30483.18,28040.88,1101,0,2448.4165
10_9454C3610D0A_E2288FCE3225_5,2023-04-24T01:31:36.000+0000,-1508.3015,-34017.023,31617.215,1086,0,2594.3015
10_9454C3610D0A_E2288FCE3225_5,2023-04-24T01:00:40.000+0000,-1609.8546,-36472.703,33661.42,1104,0,2713.8545
10_9454C3610D0A_E2288FCE3225_5,2023-04-24T00:01:34.000+0000,-1807.8721,-40747.656,37991.87,1172,0,2979.872
10_9454C3610D0A_E2288FCE3225_5,2023-04-23T23:30:29.000+0000,-1896.4845,-42897,39839.273,1158,0,3054.4844
10_9454C3610D0A_E2288FCE3225_5,2023-04-23T23:01:39.000+0000,-1959.358,-44364.88,40884.867,1181,0,3140.358
10_9454C3610D0A_E2288FCE3225_5,2023-04-23T22:30:34.000+0000,-2001.8181,-45393.387,41632.54,1154,0,3155.818
10_9454C3610D0A_E2288FCE3225_5,2023-04-23T22:00:34.000+0000,-2017.7112,-45622.938,42192.14,1158,0,3175.7112
10_9454C3610D0A_E2288FCE3225_5,2023-04-23T21:31:35.000+0000,-2013.4027,-45750.09,42071.227,1118,0,3131.4028
