ts_id,ds,y
10_9454C3610D0A_FDDD333320AE_22,2023-05-09 02:35:00,4577.0
10_9454C36130F5_54F82A737EF9_7,2023-05-09 02:35:00,2812.0
10_9454C36130F5_54F82A7319CD_7,2023-05-09 02:35:00,1.0
10_9454C3610D0A_9454C3610D0A_8,2023-05-09 02:35:00,2.0
10_9454C35EAE21_9454C35EAE21_13,2023-05-09 02:20:00,1.0
10_9454C35EAE21_9454C35EAE21_8,2023-05-09 02:20:00,1e-07
10_9454C3610D0A_E2288FCE3225_4,2023-05-09 02:05:00,3104274.0
10_9454C3610D0A_54F82A18367A_8,2023-05-09 02:05:00,264074512.0
10_9454C3610D0A_EF76166561AF_22,2023-05-09 02:05:00,1907.0
10_9454C3610D0A_F168FB78EEB5_22,2023-05-09 02:05:00,4045.0
10_9454C36130F5_54F82A737EF9_5,2023-05-09 02:05:00,2063.0
10_9454C3610D0A_E2288FCE3225_5,2023-05-09 02:05:00,3355.0
10_9454C36130F5_54F82A73BE1E_5,2023-05-09 02:05:00,2318.0
10_9454C3610D0A_FDDD333320AE_22,2023-05-09 02:05:00,4577.0
10_9454C36130F5_54F82A7319CD_7,2023-05-09 02:05:00,1e-07
10_9454C36130F5_54F82A737EF9_7,2023-05-09 02:05:00,2812.0
10_9454C3610D0A_9454C3610D0A_8,2023-05-09 02:05:00,2.0
10_9454C35EAE21_9454C35EAE21_13,2023-05-09 02:00:00,1.0
10_9454C35EAE21_9454C35EAE21_8,2023-05-09 02:00:00,1e-07
10_9454C35EAE21_9454C35EAE21_13,2023-05-09 01:40:00,1.0
10_9454C35EAE21_9454C35EAE21_8,2023-05-09 01:40:00,1e-07
10_9454C3610D0A_E2288FCE3225_4,2023-05-09 01:35:00,3123956.0
10_9454C3610D0A_54F82A18367A_8,2023-05-09 01:35:00,264074512.0
10_9454C3610D0A_EF76166561AF_22,2023-05-09 01:35:00,1927.0
10_9454C3610D0A_F168FB78EEB5_22,2023-05-09 01:35:00,4081.0
10_9454C3610D0A_E2288FCE3225_5,2023-05-09 01:35:00,3729.0
10_9454C36130F5_54F82A737EF9_5,2023-05-09 01:35:00,2542.0
10_9454C36130F5_54F82A73BE1E_5,2023-05-09 01:35:00,2708.0
10_9454C3610D0A_FDDD333320AE_22,2023-05-09 01:35:00,4578.0
10_9454C36130F5_54F82A7319CD_7,2023-05-09 01:35:00,1.0
10_9454C36130F5_54F82A737EF9_7,2023-05-09 01:35:00,2812.0
10_9454C3610D0A_9454C3610D0A_8,2023-05-09 01:35:00,2.0
10_9454C35EAE21_9454C35EAE21_13,2023-05-09 01:20:00,1.0
10_9454C35EAE21_9454C35EAE21_8,2023-05-09 01:20:00,1e-07
10_9454C3610D0A_54F82A18367A_8,2023-05-09 01:05:00,264074512.0
10_9454C3610D0A_E2288FCE3225_4,2023-05-09 01:05:00,3143369.0
10_9454C3610D0A_EF76166561AF_22,2023-05-09 01:05:00,1940.0
10_9454C35EAE21_9454C35EAE21_13,2023-05-09 01:05:00,1.0
10_9454C35EAE21_9454C35EAE21_8,2023-05-09 01:05:00,1e-07
10_9454C3610D0A_F168FB78EEB5_22,2023-05-09 01:05:00,4106.0
10_9454C3610D0A_E2288FCE3225_5,2023-05-09 01:05:00,3988.0
10_9454C36130F5_54F82A737EF9_5,2023-05-09 01:05:00,3011.0
